feature,metric,family,lane,bit,control_bit,scope,n_pass,n_fail,pass_min_ps,pass_median_ps,pass_max_ps,fail_min_ps,fail_median_ps,fail_max_ps,fail_minus_pass_median_ps,fail_min_minus_pass_max_ps,pass_min_minus_fail_max_ps,auc_fail_higher,auc_best_direction,auc_best,cliffs_delta_fail_higher,strict_separation,strict_margin_ps
signed_lane1_minus_lane0_dq_median__idelay_cntvaluein_skew__all__no_bit__ctrl_2__lane1_vs_lane0_dq__value_ps,signed_lane1_minus_lane0_dq_median,idelay_cntvaluein_skew,all,,2,lane1_vs_lane0_dq,14,16,-690.0,-288.0,-124.0,-375.0,-255.5,-11.5,32.5,-251.0,-678.5,0.642857,fail_higher,0.642857,0.285714,overlap,0.0
abs_lane1_minus_lane0_dq_median__idelay_cntvaluein_skew__all__no_bit__ctrl_2__lane1_vs_lane0_dq__value_ps,abs_lane1_minus_lane0_dq_median,idelay_cntvaluein_skew,all,,2,lane1_vs_lane0_dq,14,16,124.0,288.0,690.0,11.5,255.5,375.0,-32.5,-678.5,-251.0,0.357143,fail_lower,0.642857,-0.285714,overlap,0.0
abs_ld_minus_cntvaluein_dq_median__idelay_ld_cntvaluein_skew__lane0__no_bit__ctrl_4__ld_vs_cntvaluein_dq_lane__value_ps,abs_ld_minus_cntvaluein_dq_median,idelay_ld_cntvaluein_skew,lane0,,4,ld_vs_cntvaluein_dq_lane,14,16,5.0,163.5,431.5,3.5,192.0,1180.0,28.5,-428.0,-1175.0,0.642857,fail_higher,0.642857,0.285714,overlap,0.0
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq2__ctrl_4__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq2,4,dqs_vs_dq_bit,14,16,-610.0,10.0,383.0,-925.0,-263.0,1219.0,-273.0,-1308.0,-1829.0,0.361607,fail_lower,0.638393,-0.276786,overlap,0.0
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq0__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq0,2,dqs_vs_dq_bit,14,16,-998.0,-398.0,556.0,-648.0,-15.0,993.0,383.0,-1204.0,-1991.0,0.636161,fail_higher,0.636161,0.272321,overlap,0.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq6__ctrl_2__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq6,2,dqs_vs_dq_bit,14,16,116.0,498.0,873.0,10.0,348.0,1011.0,-150.0,-863.0,-895.0,0.363839,fail_lower,0.636161,-0.272321,overlap,0.0
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq11__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq11,0,dqs_vs_dq_bit,14,16,-443.0,-47.0,613.0,-828.0,-161.0,502.0,-114.0,-1441.0,-945.0,0.363839,fail_lower,0.636161,-0.272321,overlap,0.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq12__ctrl_4__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq12,4,dqs_vs_dq_bit,14,16,36.0,143.0,642.0,31.0,300.0,582.0,157.0,-611.0,-546.0,0.633929,fail_higher,0.633929,0.267857,overlap,0.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq13__ctrl_0__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq13,0,dqs_vs_dq_bit,14,16,74.0,321.0,606.0,25.0,204.0,741.0,-117.0,-581.0,-667.0,0.366071,fail_lower,0.633929,-0.267857,overlap,0.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq5__ctrl_0__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq5,0,dqs_vs_dq_bit,14,16,13.0,443.0,888.0,44.0,268.0,592.0,-175.0,-844.0,-579.0,0.368304,fail_lower,0.631696,-0.263393,overlap,0.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq0__ctrl_2__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq0,2,dqs_vs_dq_bit,14,16,76.0,447.5,998.0,98.0,323.5,993.0,-124.0,-900.0,-917.0,0.368304,fail_lower,0.631696,-0.263393,overlap,0.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq4__ctrl_2__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq4,2,dqs_vs_dq_bit,14,16,159.0,447.0,1118.0,6.0,311.0,993.0,-136.0,-1112.0,-834.0,0.370536,fail_lower,0.629464,-0.258929,overlap,0.0
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq1__ctrl_4__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq1,4,dqs_vs_dq_bit,14,16,-654.0,73.0,479.0,-988.0,-190.5,981.0,-263.5,-1467.0,-1635.0,0.375,fail_lower,0.625,-0.25,overlap,0.0
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq9__ctrl_4__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq9,4,dqs_vs_dq_bit,14,16,-418.0,119.5,746.0,-774.0,-97.5,738.0,-217.0,-1520.0,-1156.0,0.375,fail_lower,0.625,-0.25,overlap,0.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq3__ctrl_1__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq3,1,dqs_vs_dq_bit,14,16,13.0,287.5,723.0,3.0,461.5,847.0,174.0,-720.0,-834.0,0.625,fail_higher,0.625,0.25,overlap,0.0
dq_lane_range__iologic_skew__lane0__no_bit__ctrl_none__dq_lane__value_ps,dq_lane_range,iologic_skew,lane0,,,dq_lane,14,16,154.0,620.5,960.0,342.0,763.0,899.0,142.5,-618.0,-745.0,0.625,fail_higher,0.625,0.25,overlap,0.0
dq_lane_range__iologic_skew__lane1__no_bit__ctrl_none__dq_lane__value_ps,dq_lane_range,iologic_skew,lane1,,,dq_lane,14,16,310.0,592.5,1073.0,296.0,484.5,1537.0,-108.0,-777.0,-1227.0,0.375,fail_lower,0.625,-0.25,overlap,0.0
abs_dqs_minus_dq_median__idelay_cntvaluein_skew__lane0__dqs0__ctrl_2__dqs_vs_dq_lane__value_ps,abs_dqs_minus_dq_median,idelay_cntvaluein_skew,lane0,dqs0,2,dqs_vs_dq_lane,14,16,114.0,436.5,927.5,148.0,340.5,1005.0,-96.0,-779.5,-891.0,0.375,fail_lower,0.625,-0.25,overlap,0.0
signed_ld_dqs_minus_dq_median__idelay_ld_skew__lane1__dqs1__ctrl_none__dqs_vs_dq_lane__value_ps,signed_ld_dqs_minus_dq_median,idelay_ld_skew,lane1,dqs1,,dqs_vs_dq_lane,14,16,-179.0,-55.5,193.0,-175.0,14.75,243.0,70.25,-368.0,-422.0,0.625,fail_higher,0.625,0.25,overlap,0.0
abs_dqs_bus_skew_minus_dq_median__idelay_cntvaluein_skew__lane0__dqs0__ctrl_none__dqs_vs_dq_bus_skew__value_ps,abs_dqs_bus_skew_minus_dq_median,idelay_cntvaluein_skew,lane0,dqs0,,dqs_vs_dq_bus_skew,14,16,24.5,228.25,679.5,27.5,286.75,858.0,58.5,-652.0,-833.5,0.625,fail_higher,0.625,0.25,overlap,0.0
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq13__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq13,0,dqs_vs_dq_bit,14,16,-515.0,-134.0,606.0,-741.0,-192.0,418.0,-58.0,-1347.0,-933.0,0.375,fail_lower,0.625,-0.25,overlap,0.0
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq4__ctrl_4__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq4,4,dqs_vs_dq_bit,14,16,-825.0,14.5,472.0,-1072.0,-235.0,1227.0,-249.5,-1544.0,-2052.0,0.379464,fail_lower,0.620536,-0.241071,overlap,0.0
signed_dqs_minus_dq_median__idelay_cntvaluein_skew__lane0__dqs0__ctrl_4__dqs_vs_dq_lane__value_ps,signed_dqs_minus_dq_median,idelay_cntvaluein_skew,lane0,dqs0,4,dqs_vs_dq_lane,14,16,-611.5,40.75,380.0,-931.5,-181.25,1108.0,-222.0,-1311.5,-1719.5,0.379464,fail_lower,0.620536,-0.241071,overlap,0.0
dq_lane_range__idelay_cntvaluein_skew__lane1__no_bit__ctrl_4__dq_lane__value_ps,dq_lane_range,idelay_cntvaluein_skew,lane1,,4,dq_lane,14,16,194.0,435.0,717.0,214.0,332.0,562.0,-103.0,-503.0,-368.0,0.379464,fail_lower,0.620536,-0.241071,overlap,0.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq7__ctrl_0__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq7,0,dqs_vs_dq_bit,14,16,12.0,271.5,807.0,155.0,315.5,976.0,44.0,-652.0,-964.0,0.620536,fail_higher,0.620536,0.241071,overlap,0.0
abs_ld_dqs_minus_dq_median__idelay_ld_skew__lane1__dqs1__ctrl_none__dqs_vs_dq_lane__value_ps,abs_ld_dqs_minus_dq_median,idelay_ld_skew,lane1,dqs1,,dqs_vs_dq_lane,14,16,5.0,105.25,193.0,4.0,75.5,243.0,-29.75,-189.0,-238.0,0.379464,fail_lower,0.620536,-0.241071,overlap,0.0
signed_dqs_bus_skew_minus_dq_median__idelay_cntvaluein_skew__lane0__dqs0__ctrl_none__dqs_vs_dq_bus_skew__value_ps,signed_dqs_bus_skew_minus_dq_median,idelay_cntvaluein_skew,lane0,dqs0,,dqs_vs_dq_bus_skew,14,16,-679.5,5.25,600.5,-391.0,209.25,858.0,204.0,-991.5,-1537.5,0.616071,fail_higher,0.616071,0.232143,overlap,0.0
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq14__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq14,2,dqs_vs_dq_bit,14,16,-1216.0,-253.0,567.0,-523.0,-88.5,484.0,164.5,-1090.0,-1700.0,0.616071,fail_higher,0.616071,0.232143,overlap,0.0
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq15__ctrl_4__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq15,4,dqs_vs_dq_bit,14,16,-365.0,119.5,679.0,-694.0,-23.5,785.0,-143.0,-1373.0,-1150.0,0.383929,fail_lower,0.616071,-0.232143,overlap,0.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq1__ctrl_3__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq1,3,dqs_vs_dq_bit,14,16,77.0,335.5,1003.0,23.0,235.0,996.0,-100.5,-980.0,-919.0,0.383929,fail_lower,0.616071,-0.232143,overlap,0.0
abs_ld_minus_cntvaluein_dq_median__idelay_ld_cntvaluein_skew__lane1__no_bit__ctrl_4__ld_vs_cntvaluein_dq_lane__value_ps,abs_ld_minus_cntvaluein_dq_median,idelay_ld_cntvaluein_skew,lane1,,4,ld_vs_cntvaluein_dq_lane,14,16,19.5,198.0,631.5,34.5,263.0,669.5,65.0,-597.0,-650.0,0.616071,fail_higher,0.616071,0.232143,overlap,0.0
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq5__ctrl_1__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq5,1,dqs_vs_dq_bit,14,16,-769.0,-195.0,812.0,-569.0,76.0,928.0,271.0,-1381.0,-1697.0,0.611607,fail_higher,0.611607,0.223214,overlap,0.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq0__ctrl_3__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq0,3,dqs_vs_dq_bit,14,16,21.0,411.0,979.0,8.0,261.5,987.0,-149.5,-971.0,-966.0,0.388393,fail_lower,0.611607,-0.223214,overlap,0.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq3__ctrl_2__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq3,2,dqs_vs_dq_bit,14,16,138.0,448.5,803.0,69.0,358.0,1131.0,-90.5,-734.0,-993.0,0.388393,fail_lower,0.611607,-0.223214,overlap,0.0
signed_dqs_minus_dq_median__idelay_cntvaluein_skew__lane1__dqs1__ctrl_0__dqs_vs_dq_lane__value_ps,signed_dqs_minus_dq_median,idelay_cntvaluein_skew,lane1,dqs1,0,dqs_vs_dq_lane,14,16,-432.0,-87.75,611.5,-780.5,-172.0,466.5,-84.25,-1392.0,-898.5,0.388393,fail_lower,0.611607,-0.223214,overlap,0.0
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq10__ctrl_3__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq10,3,dqs_vs_dq_bit,14,16,-1002.0,135.0,492.0,-710.0,-137.5,732.0,-272.5,-1202.0,-1734.0,0.392857,fail_lower,0.607143,-0.214286,overlap,0.0
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq6__ctrl_3__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq6,3,dqs_vs_dq_bit,14,16,-965.0,-129.0,933.0,-763.0,5.5,850.0,134.5,-1696.0,-1815.0,0.607143,fail_higher,0.607143,0.214286,overlap,0.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq7__ctrl_2__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq7,2,dqs_vs_dq_bit,14,16,117.0,491.5,1056.0,13.0,407.5,838.0,-84.0,-1043.0,-721.0,0.392857,fail_lower,0.607143,-0.214286,overlap,0.0
signed_dqs_minus_dq_median__iologic_skew__lane1__dqs1__ctrl_none__dqs_vs_dq_lane__value_ps,signed_dqs_minus_dq_median,iologic_skew,lane1,dqs1,,dqs_vs_dq_lane,14,16,-244.0,217.0,795.5,28.0,267.5,838.5,50.5,-767.5,-1082.5,0.604911,fail_higher,0.604911,0.209821,overlap,0.0
dq_bus_skew_range__idelay_cntvaluein_skew__lane1__no_bit__ctrl_none__dq_lane_bus_skew__value_ps,dq_bus_skew_range,idelay_cntvaluein_skew,lane1,,,dq_lane_bus_skew,14,16,231.0,396.5,520.0,167.0,389.5,517.0,-7.0,-353.0,-286.0,0.397321,fail_lower,0.602679,-0.205357,overlap,0.0
dq_lane_range__idelay_cntvaluein_skew__lane0__no_bit__ctrl_3__dq_lane__value_ps,dq_lane_range,idelay_cntvaluein_skew,lane0,,3,dq_lane,14,16,185.0,423.5,751.0,189.0,313.5,585.0,-110.0,-562.0,-400.0,0.399554,fail_lower,0.600446,-0.200893,overlap,0.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq14__ctrl_1__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq14,1,dqs_vs_dq_bit,14,16,6.0,167.0,666.0,2.0,343.0,703.0,176.0,-664.0,-697.0,0.598214,fail_higher,0.598214,0.196429,overlap,0.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq5__ctrl_1__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq5,1,dqs_vs_dq_bit,14,16,79.0,305.5,812.0,9.0,465.0,928.0,159.5,-803.0,-849.0,0.598214,fail_higher,0.598214,0.196429,overlap,0.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq1__ctrl_1__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq1,1,dqs_vs_dq_bit,14,16,56.0,392.5,998.0,39.0,532.5,836.0,140.0,-959.0,-780.0,0.598214,fail_higher,0.598214,0.196429,overlap,0.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq6__ctrl_0__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq6,0,dqs_vs_dq_bit,14,16,19.0,227.5,856.0,120.0,314.0,859.0,86.5,-736.0,-840.0,0.598214,fail_higher,0.598214,0.196429,overlap,0.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq11__ctrl_4__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq11,4,dqs_vs_dq_bit,14,16,32.0,246.0,897.0,38.0,285.0,884.0,39.0,-859.0,-852.0,0.598214,fail_higher,0.598214,0.196429,overlap,0.0
signed_lane1_minus_lane0_dq_median__idelay_cntvaluein_skew__all__no_bit__ctrl_0__lane1_vs_lane0_dq__value_ps,signed_lane1_minus_lane0_dq_median,idelay_cntvaluein_skew,all,,0,lane1_vs_lane0_dq,14,16,-697.5,-287.5,-27.0,-624.0,-320.25,15.5,-32.75,-597.0,-713.0,0.401786,fail_lower,0.598214,-0.196429,overlap,0.0
abs_lane1_minus_lane0_dq_median__idelay_cntvaluein_skew__all__no_bit__ctrl_0__lane1_vs_lane0_dq__value_ps,abs_lane1_minus_lane0_dq_median,idelay_cntvaluein_skew,all,,0,lane1_vs_lane0_dq,14,16,27.0,287.5,697.5,15.5,320.25,624.0,32.75,-682.0,-597.0,0.598214,fail_higher,0.598214,0.196429,overlap,0.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq11__ctrl_0__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq11,0,dqs_vs_dq_bit,14,16,13.0,293.5,613.0,20.0,195.0,828.0,-98.5,-593.0,-815.0,0.404018,fail_lower,0.595982,-0.191964,overlap,0.0
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq3__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq3,2,dqs_vs_dq_bit,14,16,-803.0,-226.0,786.0,-600.0,28.0,1131.0,254.0,-1386.0,-1934.0,0.59375,fail_higher,0.59375,0.1875,overlap,0.0
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq3__ctrl_1__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq3,1,dqs_vs_dq_bit,14,16,-679.0,-151.0,723.0,-645.0,81.5,847.0,232.5,-1368.0,-1526.0,0.59375,fail_higher,0.59375,0.1875,overlap,0.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq2__ctrl_2__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq2,2,dqs_vs_dq_bit,14,16,69.0,528.0,970.0,104.0,360.5,1014.0,-167.5,-866.0,-945.0,0.40625,fail_lower,0.59375,-0.1875,overlap,0.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq5__ctrl_2__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq5,2,dqs_vs_dq_bit,14,16,122.0,445.5,891.0,125.0,308.5,1077.0,-137.0,-766.0,-955.0,0.40625,fail_lower,0.59375,-0.1875,overlap,0.0
signed_dqs_minus_dq_median__iologic_skew__lane0__dqs0__ctrl_none__dqs_vs_dq_lane__value_ps,signed_dqs_minus_dq_median,iologic_skew,lane0,dqs0,,dqs_vs_dq_lane,14,16,-386.5,973.0,1632.0,117.5,1080.25,1547.0,107.25,-1514.5,-1933.5,0.59375,fail_higher,0.59375,0.1875,overlap,0.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq11__ctrl_3__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq11,3,dqs_vs_dq_bit,14,16,5.0,221.5,782.0,2.0,304.0,872.0,82.5,-780.0,-867.0,0.59375,fail_higher,0.59375,0.1875,overlap,0.0
abs_ld_minus_cntvaluein_dq_median__idelay_ld_cntvaluein_skew__lane1__no_bit__ctrl_0__ld_vs_cntvaluein_dq_lane__value_ps,abs_ld_minus_cntvaluein_dq_median,idelay_ld_cntvaluein_skew,lane1,,0,ld_vs_cntvaluein_dq_lane,14,16,27.5,125.25,571.5,68.5,188.25,631.5,63.0,-503.0,-604.0,0.59375,fail_higher,0.59375,0.1875,overlap,0.0
signed_lane1_minus_lane0_dqs__idelay_cntvaluein_skew__all__no_bit__ctrl_0__lane1_vs_lane0_dqs__value_ps,signed_lane1_minus_lane0_dqs,idelay_cntvaluein_skew,all,,0,lane1_vs_lane0_dqs,14,16,-581.0,-276.5,95.0,-520.0,-265.5,109.0,11.0,-615.0,-690.0,0.591518,fail_higher,0.591518,0.183036,overlap,0.0
abs_lane1_minus_lane0_dqs__idelay_cntvaluein_skew__all__no_bit__ctrl_0__lane1_vs_lane0_dqs__value_ps,abs_lane1_minus_lane0_dqs,idelay_cntvaluein_skew,all,,0,lane1_vs_lane0_dqs,14,16,18.0,276.5,581.0,31.0,265.5,520.0,-11.0,-550.0,-502.0,0.408482,fail_lower,0.591518,-0.183036,overlap,0.0
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq3__ctrl_4__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq3,4,dqs_vs_dq_bit,14,16,-384.0,170.5,566.0,-960.0,-23.5,1091.0,-194.0,-1526.0,-1475.0,0.410714,fail_lower,0.589286,-0.178571,overlap,0.0
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq15__ctrl_1__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq15,1,dqs_vs_dq_bit,14,16,-430.0,69.5,701.0,-329.0,219.0,847.0,149.5,-1030.0,-1277.0,0.589286,fail_higher,0.589286,0.178571,overlap,0.0
abs_dqs_minus_dq_median__idelay_cntvaluein_skew__lane1__dqs1__ctrl_0__dqs_vs_dq_lane__value_ps,abs_dqs_minus_dq_median,idelay_cntvaluein_skew,lane1,dqs1,0,dqs_vs_dq_lane,14,16,4.0,319.25,611.5,61.5,204.75,780.5,-114.5,-550.0,-776.5,0.410714,fail_lower,0.589286,-0.178571,overlap,0.0
abs_ld_minus_cntvaluein_dqs__idelay_ld_cntvaluein_skew__lane1__dqs1__ctrl_2__ld_vs_cntvaluein_dqs__value_ps,abs_ld_minus_cntvaluein_dqs,idelay_ld_cntvaluein_skew,lane1,dqs1,2,ld_vs_cntvaluein_dqs,14,16,38.0,190.0,1257.0,8.0,292.0,833.0,102.0,-1249.0,-795.0,0.589286,fail_higher,0.589286,0.178571,overlap,0.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq4__ctrl_3__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq4,3,dqs_vs_dq_bit,14,16,31.0,371.5,1005.0,24.0,278.5,1086.0,-93.0,-981.0,-1055.0,0.410714,fail_lower,0.589286,-0.178571,overlap,0.0
abs_dqs_bus_skew_minus_dq_median__idelay_cntvaluein_skew__lane1__dqs1__ctrl_none__dqs_vs_dq_bus_skew__value_ps,abs_dqs_bus_skew_minus_dq_median,idelay_cntvaluein_skew,lane1,dqs1,,dqs_vs_dq_bus_skew,14,16,6.5,179.0,520.0,7.0,86.5,901.0,-92.5,-513.0,-894.5,0.410714,fail_lower,0.589286,-0.178571,overlap,0.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq6__ctrl_3__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq6,3,dqs_vs_dq_bit,14,16,29.0,385.5,965.0,15.0,395.5,850.0,10.0,-950.0,-821.0,0.410714,fail_lower,0.589286,-0.178571,overlap,0.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq8__ctrl_2__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq8,2,dqs_vs_dq_bit,14,16,20.0,398.5,1308.0,50.0,325.5,607.0,-73.0,-1258.0,-587.0,0.412946,fail_lower,0.587054,-0.174107,overlap,0.0
signed_ld_minus_cntvaluein_dqs__idelay_ld_cntvaluein_skew__lane1__dqs1__ctrl_3__ld_vs_cntvaluein_dqs__value_ps,signed_ld_minus_cntvaluein_dqs,idelay_ld_cntvaluein_skew,lane1,dqs1,3,ld_vs_cntvaluein_dqs,14,16,-372.0,-38.5,1344.0,-650.0,115.0,846.0,153.5,-1994.0,-1218.0,0.584821,fail_higher,0.584821,0.169643,overlap,0.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq9__ctrl_2__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq9,2,dqs_vs_dq_bit,14,16,11.0,206.5,706.0,31.0,289.5,684.0,83.0,-675.0,-673.0,0.584821,fail_higher,0.584821,0.169643,overlap,0.0
abs_dqs_minus_dq_median__idelay_cntvaluein_skew__lane0__dqs0__ctrl_3__dqs_vs_dq_lane__value_ps,abs_dqs_minus_dq_median,idelay_cntvaluein_skew,lane0,dqs0,3,dqs_vs_dq_lane,14,16,81.5,363.75,1003.0,18.0,318.5,991.5,-45.25,-985.0,-910.0,0.415179,fail_lower,0.584821,-0.169643,overlap,0.0
dq_lane_range__idelay_cntvaluein_skew__lane1__no_bit__ctrl_1__dq_lane__value_ps,dq_lane_range,idelay_cntvaluein_skew,lane1,,1,dq_lane,14,16,91.0,414.0,764.0,261.0,459.0,644.0,45.0,-503.0,-553.0,0.584821,fail_higher,0.584821,0.169643,overlap,0.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq12__ctrl_1__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq12,1,dqs_vs_dq_bit,14,16,13.0,140.0,836.0,13.0,366.0,742.0,226.0,-823.0,-729.0,0.582589,fail_higher,0.582589,0.165179,overlap,0.0
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq9__ctrl_1__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq9,1,dqs_vs_dq_bit,14,16,-520.0,1.0,681.0,-520.0,132.5,756.0,131.5,-1201.0,-1276.0,0.582589,fail_higher,0.582589,0.165179,overlap,0.0
abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq0__ctrl_1__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq0,1,dqs_vs_dq_bit,14,16,20.0,400.0,907.0,28.0,520.5,794.0,120.5,-879.0,-774.0,0.580357,fail_higher,0.580357,0.160714,overlap,0.0
