feature_a,feature_b,n_pass,n_fail,auc_pair_score_fail_higher,auc_best,fail_minus_pass_median_score
placement_manhattan_spread__reset_release__all__no_bit__ctrl_none__endpoint__value_ps,placement_manhattan_spread__dq_iologic__lane0__dq3__ctrl_none__endpoint__value_ps,6,5,0.7,0.7,2.0
placement_manhattan_spread__reset_release__all__no_bit__ctrl_none__endpoint__value_ps,placement_manhattan_max__dq_iologic__lane0__dq4__ctrl_none__endpoint__value_ps,6,5,0.7,0.7,2.0
placement_manhattan_spread__reset_release__all__no_bit__ctrl_none__endpoint__value_ps,placement_manhattan_spread__dq_iologic__lane0__dq4__ctrl_none__endpoint__value_ps,6,5,0.7,0.7,2.0
placement_manhattan_spread__reset_release__all__no_bit__ctrl_none__endpoint__value_ps,placement_manhattan_max__dq_iologic__lane0__dq5__ctrl_none__endpoint__value_ps,6,5,0.7,0.7,2.0
placement_manhattan_spread__reset_release__all__no_bit__ctrl_none__endpoint__value_ps,placement_manhattan_spread__dq_iologic__lane0__dq5__ctrl_none__endpoint__value_ps,6,5,0.7,0.7,2.0
placement_manhattan_spread__reset_release__all__no_bit__ctrl_none__endpoint__value_ps,placement_manhattan_max__dq_iologic__lane0__dq6__ctrl_none__endpoint__value_ps,6,5,0.7,0.7,2.0
placement_manhattan_spread__reset_release__all__no_bit__ctrl_none__endpoint__value_ps,placement_manhattan_spread__dq_iologic__lane0__dq6__ctrl_none__endpoint__value_ps,6,5,0.7,0.7,2.0
placement_manhattan_spread__reset_release__all__no_bit__ctrl_none__endpoint__value_ps,placement_manhattan_max__dq_iologic__lane0__dq7__ctrl_none__endpoint__value_ps,6,5,0.7,0.7,2.0
placement_manhattan_spread__reset_release__all__no_bit__ctrl_none__endpoint__value_ps,placement_manhattan_spread__dq_iologic__lane0__dq7__ctrl_none__endpoint__value_ps,6,5,0.7,0.7,2.0
placement_manhattan_spread__reset_release__all__no_bit__ctrl_none__endpoint__value_ps,placement_manhattan_max__dq_iologic__lane1__dq10__ctrl_none__endpoint__value_ps,6,5,0.7,0.7,2.0
placement_manhattan_spread__reset_release__all__no_bit__ctrl_none__endpoint__value_ps,placement_manhattan_spread__dq_iologic__lane1__dq10__ctrl_none__endpoint__value_ps,6,5,0.7,0.7,2.0
placement_manhattan_spread__reset_release__all__no_bit__ctrl_none__endpoint__value_ps,placement_manhattan_max__dq_iologic__lane1__dq11__ctrl_none__endpoint__value_ps,6,5,0.7,0.7,2.0
placement_manhattan_spread__reset_release__all__no_bit__ctrl_none__endpoint__value_ps,placement_manhattan_spread__dq_iologic__lane1__dq11__ctrl_none__endpoint__value_ps,6,5,0.7,0.7,2.0
placement_manhattan_spread__reset_release__all__no_bit__ctrl_none__endpoint__value_ps,placement_manhattan_max__dq_iologic__lane1__dq12__ctrl_none__endpoint__value_ps,6,5,0.7,0.7,2.0
placement_manhattan_spread__reset_release__all__no_bit__ctrl_none__endpoint__value_ps,placement_manhattan_spread__dq_iologic__lane1__dq12__ctrl_none__endpoint__value_ps,6,5,0.7,0.7,2.0
placement_manhattan_max__clocking__all__no_bit__ctrl_none__endpoint__value_ps,placement_manhattan_max__dq_iologic__lane0__dq0__ctrl_none__endpoint__value_ps,6,5,0.5,0.5,0.0
placement_manhattan_max__clocking__all__no_bit__ctrl_none__endpoint__value_ps,placement_manhattan_spread__dq_iologic__lane0__dq0__ctrl_none__endpoint__value_ps,6,5,0.5,0.5,0.0
placement_manhattan_max__clocking__all__no_bit__ctrl_none__endpoint__value_ps,placement_manhattan_max__dq_iologic__lane0__dq1__ctrl_none__endpoint__value_ps,6,5,0.5,0.5,0.0
placement_manhattan_max__clocking__all__no_bit__ctrl_none__endpoint__value_ps,placement_manhattan_spread__dq_iologic__lane0__dq1__ctrl_none__endpoint__value_ps,6,5,0.5,0.5,0.0
placement_manhattan_max__clocking__all__no_bit__ctrl_none__endpoint__value_ps,placement_manhattan_max__dq_iologic__lane0__dq2__ctrl_none__endpoint__value_ps,6,5,0.5,0.5,0.0
placement_manhattan_max__clocking__all__no_bit__ctrl_none__endpoint__value_ps,placement_manhattan_spread__dq_iologic__lane0__dq2__ctrl_none__endpoint__value_ps,6,5,0.5,0.5,0.0
placement_manhattan_max__clocking__all__no_bit__ctrl_none__endpoint__value_ps,placement_manhattan_max__dq_iologic__lane0__dq3__ctrl_none__endpoint__value_ps,6,5,0.5,0.5,0.0
placement_manhattan_max__clocking__all__no_bit__ctrl_none__endpoint__value_ps,placement_manhattan_spread__dq_iologic__lane0__dq3__ctrl_none__endpoint__value_ps,6,5,0.5,0.5,0.0
placement_manhattan_max__clocking__all__no_bit__ctrl_none__endpoint__value_ps,placement_manhattan_max__dq_iologic__lane0__dq4__ctrl_none__endpoint__value_ps,6,5,0.5,0.5,0.0
placement_manhattan_max__clocking__all__no_bit__ctrl_none__endpoint__value_ps,placement_manhattan_spread__dq_iologic__lane0__dq4__ctrl_none__endpoint__value_ps,6,5,0.5,0.5,0.0
placement_manhattan_max__clocking__all__no_bit__ctrl_none__endpoint__value_ps,placement_manhattan_max__dq_iologic__lane0__dq5__ctrl_none__endpoint__value_ps,6,5,0.5,0.5,0.0
placement_manhattan_max__clocking__all__no_bit__ctrl_none__endpoint__value_ps,placement_manhattan_spread__dq_iologic__lane0__dq5__ctrl_none__endpoint__value_ps,6,5,0.5,0.5,0.0
placement_manhattan_max__clocking__all__no_bit__ctrl_none__endpoint__value_ps,placement_manhattan_max__dq_iologic__lane0__dq6__ctrl_none__endpoint__value_ps,6,5,0.5,0.5,0.0
placement_manhattan_max__clocking__all__no_bit__ctrl_none__endpoint__value_ps,placement_manhattan_spread__dq_iologic__lane0__dq6__ctrl_none__endpoint__value_ps,6,5,0.5,0.5,0.0
placement_manhattan_max__clocking__all__no_bit__ctrl_none__endpoint__value_ps,placement_manhattan_max__dq_iologic__lane0__dq7__ctrl_none__endpoint__value_ps,6,5,0.5,0.5,0.0
placement_manhattan_max__clocking__all__no_bit__ctrl_none__endpoint__value_ps,placement_manhattan_spread__dq_iologic__lane0__dq7__ctrl_none__endpoint__value_ps,6,5,0.5,0.5,0.0
placement_manhattan_max__clocking__all__no_bit__ctrl_none__endpoint__value_ps,placement_manhattan_max__dq_iologic__lane1__dq10__ctrl_none__endpoint__value_ps,6,5,0.5,0.5,0.0
placement_manhattan_max__clocking__all__no_bit__ctrl_none__endpoint__value_ps,placement_manhattan_spread__dq_iologic__lane1__dq10__ctrl_none__endpoint__value_ps,6,5,0.5,0.5,0.0
placement_manhattan_max__clocking__all__no_bit__ctrl_none__endpoint__value_ps,placement_manhattan_max__dq_iologic__lane1__dq11__ctrl_none__endpoint__value_ps,6,5,0.5,0.5,0.0
placement_manhattan_max__clocking__all__no_bit__ctrl_none__endpoint__value_ps,placement_manhattan_spread__dq_iologic__lane1__dq11__ctrl_none__endpoint__value_ps,6,5,0.5,0.5,0.0
placement_manhattan_max__clocking__all__no_bit__ctrl_none__endpoint__value_ps,placement_manhattan_max__dq_iologic__lane1__dq12__ctrl_none__endpoint__value_ps,6,5,0.5,0.5,0.0
placement_manhattan_max__clocking__all__no_bit__ctrl_none__endpoint__value_ps,placement_manhattan_spread__dq_iologic__lane1__dq12__ctrl_none__endpoint__value_ps,6,5,0.5,0.5,0.0
placement_manhattan_max__dq_iologic__lane0__dq0__ctrl_none__endpoint__value_ps,placement_manhattan_spread__dq_iologic__lane0__dq0__ctrl_none__endpoint__value_ps,6,5,0.5,0.5,0.0
placement_manhattan_max__dq_iologic__lane0__dq0__ctrl_none__endpoint__value_ps,placement_manhattan_max__dq_iologic__lane0__dq1__ctrl_none__endpoint__value_ps,6,5,0.5,0.5,0.0
placement_manhattan_max__dq_iologic__lane0__dq0__ctrl_none__endpoint__value_ps,placement_manhattan_spread__dq_iologic__lane0__dq1__ctrl_none__endpoint__value_ps,6,5,0.5,0.5,0.0
placement_manhattan_max__dq_iologic__lane0__dq0__ctrl_none__endpoint__value_ps,placement_manhattan_max__dq_iologic__lane0__dq2__ctrl_none__endpoint__value_ps,6,5,0.5,0.5,0.0
placement_manhattan_max__dq_iologic__lane0__dq0__ctrl_none__endpoint__value_ps,placement_manhattan_spread__dq_iologic__lane0__dq2__ctrl_none__endpoint__value_ps,6,5,0.5,0.5,0.0
placement_manhattan_max__dq_iologic__lane0__dq0__ctrl_none__endpoint__value_ps,placement_manhattan_max__dq_iologic__lane0__dq3__ctrl_none__endpoint__value_ps,6,5,0.5,0.5,0.0
placement_manhattan_max__dq_iologic__lane0__dq0__ctrl_none__endpoint__value_ps,placement_manhattan_spread__dq_iologic__lane0__dq3__ctrl_none__endpoint__value_ps,6,5,0.5,0.5,0.0
placement_manhattan_max__dq_iologic__lane0__dq0__ctrl_none__endpoint__value_ps,placement_manhattan_max__dq_iologic__lane0__dq4__ctrl_none__endpoint__value_ps,6,5,0.5,0.5,0.0
placement_manhattan_max__dq_iologic__lane0__dq0__ctrl_none__endpoint__value_ps,placement_manhattan_spread__dq_iologic__lane0__dq4__ctrl_none__endpoint__value_ps,6,5,0.5,0.5,0.0
placement_manhattan_max__dq_iologic__lane0__dq0__ctrl_none__endpoint__value_ps,placement_manhattan_max__dq_iologic__lane0__dq5__ctrl_none__endpoint__value_ps,6,5,0.5,0.5,0.0
placement_manhattan_max__dq_iologic__lane0__dq0__ctrl_none__endpoint__value_ps,placement_manhattan_spread__dq_iologic__lane0__dq5__ctrl_none__endpoint__value_ps,6,5,0.5,0.5,0.0
placement_manhattan_max__dq_iologic__lane0__dq0__ctrl_none__endpoint__value_ps,placement_manhattan_max__dq_iologic__lane0__dq6__ctrl_none__endpoint__value_ps,6,5,0.5,0.5,0.0
placement_manhattan_max__dq_iologic__lane0__dq0__ctrl_none__endpoint__value_ps,placement_manhattan_spread__dq_iologic__lane0__dq6__ctrl_none__endpoint__value_ps,6,5,0.5,0.5,0.0
placement_manhattan_max__dq_iologic__lane0__dq0__ctrl_none__endpoint__value_ps,placement_manhattan_max__dq_iologic__lane0__dq7__ctrl_none__endpoint__value_ps,6,5,0.5,0.5,0.0
placement_manhattan_max__dq_iologic__lane0__dq0__ctrl_none__endpoint__value_ps,placement_manhattan_spread__dq_iologic__lane0__dq7__ctrl_none__endpoint__value_ps,6,5,0.5,0.5,0.0
placement_manhattan_max__dq_iologic__lane0__dq0__ctrl_none__endpoint__value_ps,placement_manhattan_max__dq_iologic__lane1__dq10__ctrl_none__endpoint__value_ps,6,5,0.5,0.5,0.0
placement_manhattan_max__dq_iologic__lane0__dq0__ctrl_none__endpoint__value_ps,placement_manhattan_spread__dq_iologic__lane1__dq10__ctrl_none__endpoint__value_ps,6,5,0.5,0.5,0.0
placement_manhattan_max__dq_iologic__lane0__dq0__ctrl_none__endpoint__value_ps,placement_manhattan_max__dq_iologic__lane1__dq11__ctrl_none__endpoint__value_ps,6,5,0.5,0.5,0.0
placement_manhattan_max__dq_iologic__lane0__dq0__ctrl_none__endpoint__value_ps,placement_manhattan_spread__dq_iologic__lane1__dq11__ctrl_none__endpoint__value_ps,6,5,0.5,0.5,0.0
placement_manhattan_max__dq_iologic__lane0__dq0__ctrl_none__endpoint__value_ps,placement_manhattan_max__dq_iologic__lane1__dq12__ctrl_none__endpoint__value_ps,6,5,0.5,0.5,0.0
placement_manhattan_max__dq_iologic__lane0__dq0__ctrl_none__endpoint__value_ps,placement_manhattan_spread__dq_iologic__lane1__dq12__ctrl_none__endpoint__value_ps,6,5,0.5,0.5,0.0
placement_manhattan_spread__dq_iologic__lane0__dq0__ctrl_none__endpoint__value_ps,placement_manhattan_max__dq_iologic__lane0__dq1__ctrl_none__endpoint__value_ps,6,5,0.5,0.5,0.0
placement_manhattan_spread__dq_iologic__lane0__dq0__ctrl_none__endpoint__value_ps,placement_manhattan_spread__dq_iologic__lane0__dq1__ctrl_none__endpoint__value_ps,6,5,0.5,0.5,0.0
placement_manhattan_spread__dq_iologic__lane0__dq0__ctrl_none__endpoint__value_ps,placement_manhattan_max__dq_iologic__lane0__dq2__ctrl_none__endpoint__value_ps,6,5,0.5,0.5,0.0
placement_manhattan_spread__dq_iologic__lane0__dq0__ctrl_none__endpoint__value_ps,placement_manhattan_spread__dq_iologic__lane0__dq2__ctrl_none__endpoint__value_ps,6,5,0.5,0.5,0.0
placement_manhattan_spread__dq_iologic__lane0__dq0__ctrl_none__endpoint__value_ps,placement_manhattan_max__dq_iologic__lane0__dq3__ctrl_none__endpoint__value_ps,6,5,0.5,0.5,0.0
placement_manhattan_spread__dq_iologic__lane0__dq0__ctrl_none__endpoint__value_ps,placement_manhattan_spread__dq_iologic__lane0__dq3__ctrl_none__endpoint__value_ps,6,5,0.5,0.5,0.0
placement_manhattan_spread__dq_iologic__lane0__dq0__ctrl_none__endpoint__value_ps,placement_manhattan_max__dq_iologic__lane0__dq4__ctrl_none__endpoint__value_ps,6,5,0.5,0.5,0.0
placement_manhattan_spread__dq_iologic__lane0__dq0__ctrl_none__endpoint__value_ps,placement_manhattan_spread__dq_iologic__lane0__dq4__ctrl_none__endpoint__value_ps,6,5,0.5,0.5,0.0
placement_manhattan_spread__dq_iologic__lane0__dq0__ctrl_none__endpoint__value_ps,placement_manhattan_max__dq_iologic__lane0__dq5__ctrl_none__endpoint__value_ps,6,5,0.5,0.5,0.0
placement_manhattan_spread__dq_iologic__lane0__dq0__ctrl_none__endpoint__value_ps,placement_manhattan_spread__dq_iologic__lane0__dq5__ctrl_none__endpoint__value_ps,6,5,0.5,0.5,0.0
placement_manhattan_spread__dq_iologic__lane0__dq0__ctrl_none__endpoint__value_ps,placement_manhattan_max__dq_iologic__lane0__dq6__ctrl_none__endpoint__value_ps,6,5,0.5,0.5,0.0
placement_manhattan_spread__dq_iologic__lane0__dq0__ctrl_none__endpoint__value_ps,placement_manhattan_spread__dq_iologic__lane0__dq6__ctrl_none__endpoint__value_ps,6,5,0.5,0.5,0.0
placement_manhattan_spread__dq_iologic__lane0__dq0__ctrl_none__endpoint__value_ps,placement_manhattan_max__dq_iologic__lane0__dq7__ctrl_none__endpoint__value_ps,6,5,0.5,0.5,0.0
placement_manhattan_spread__dq_iologic__lane0__dq0__ctrl_none__endpoint__value_ps,placement_manhattan_spread__dq_iologic__lane0__dq7__ctrl_none__endpoint__value_ps,6,5,0.5,0.5,0.0
placement_manhattan_spread__dq_iologic__lane0__dq0__ctrl_none__endpoint__value_ps,placement_manhattan_max__dq_iologic__lane1__dq10__ctrl_none__endpoint__value_ps,6,5,0.5,0.5,0.0
placement_manhattan_spread__dq_iologic__lane0__dq0__ctrl_none__endpoint__value_ps,placement_manhattan_spread__dq_iologic__lane1__dq10__ctrl_none__endpoint__value_ps,6,5,0.5,0.5,0.0
placement_manhattan_spread__dq_iologic__lane0__dq0__ctrl_none__endpoint__value_ps,placement_manhattan_max__dq_iologic__lane1__dq11__ctrl_none__endpoint__value_ps,6,5,0.5,0.5,0.0
placement_manhattan_spread__dq_iologic__lane0__dq0__ctrl_none__endpoint__value_ps,placement_manhattan_spread__dq_iologic__lane1__dq11__ctrl_none__endpoint__value_ps,6,5,0.5,0.5,0.0
placement_manhattan_spread__dq_iologic__lane0__dq0__ctrl_none__endpoint__value_ps,placement_manhattan_max__dq_iologic__lane1__dq12__ctrl_none__endpoint__value_ps,6,5,0.5,0.5,0.0
placement_manhattan_spread__dq_iologic__lane0__dq0__ctrl_none__endpoint__value_ps,placement_manhattan_spread__dq_iologic__lane1__dq12__ctrl_none__endpoint__value_ps,6,5,0.5,0.5,0.0
placement_manhattan_max__dq_iologic__lane0__dq1__ctrl_none__endpoint__value_ps,placement_manhattan_spread__dq_iologic__lane0__dq1__ctrl_none__endpoint__value_ps,6,5,0.5,0.5,0.0
placement_manhattan_max__dq_iologic__lane0__dq1__ctrl_none__endpoint__value_ps,placement_manhattan_max__dq_iologic__lane0__dq2__ctrl_none__endpoint__value_ps,6,5,0.5,0.5,0.0
placement_manhattan_max__dq_iologic__lane0__dq1__ctrl_none__endpoint__value_ps,placement_manhattan_spread__dq_iologic__lane0__dq2__ctrl_none__endpoint__value_ps,6,5,0.5,0.5,0.0
placement_manhattan_max__dq_iologic__lane0__dq1__ctrl_none__endpoint__value_ps,placement_manhattan_max__dq_iologic__lane0__dq3__ctrl_none__endpoint__value_ps,6,5,0.5,0.5,0.0
placement_manhattan_max__dq_iologic__lane0__dq1__ctrl_none__endpoint__value_ps,placement_manhattan_spread__dq_iologic__lane0__dq3__ctrl_none__endpoint__value_ps,6,5,0.5,0.5,0.0
placement_manhattan_max__dq_iologic__lane0__dq1__ctrl_none__endpoint__value_ps,placement_manhattan_max__dq_iologic__lane0__dq4__ctrl_none__endpoint__value_ps,6,5,0.5,0.5,0.0
placement_manhattan_max__dq_iologic__lane0__dq1__ctrl_none__endpoint__value_ps,placement_manhattan_spread__dq_iologic__lane0__dq4__ctrl_none__endpoint__value_ps,6,5,0.5,0.5,0.0
placement_manhattan_max__dq_iologic__lane0__dq1__ctrl_none__endpoint__value_ps,placement_manhattan_max__dq_iologic__lane0__dq5__ctrl_none__endpoint__value_ps,6,5,0.5,0.5,0.0
placement_manhattan_max__dq_iologic__lane0__dq1__ctrl_none__endpoint__value_ps,placement_manhattan_spread__dq_iologic__lane0__dq5__ctrl_none__endpoint__value_ps,6,5,0.5,0.5,0.0
placement_manhattan_max__dq_iologic__lane0__dq1__ctrl_none__endpoint__value_ps,placement_manhattan_max__dq_iologic__lane0__dq6__ctrl_none__endpoint__value_ps,6,5,0.5,0.5,0.0
placement_manhattan_max__dq_iologic__lane0__dq1__ctrl_none__endpoint__value_ps,placement_manhattan_spread__dq_iologic__lane0__dq6__ctrl_none__endpoint__value_ps,6,5,0.5,0.5,0.0
placement_manhattan_max__dq_iologic__lane0__dq1__ctrl_none__endpoint__value_ps,placement_manhattan_max__dq_iologic__lane0__dq7__ctrl_none__endpoint__value_ps,6,5,0.5,0.5,0.0
placement_manhattan_max__dq_iologic__lane0__dq1__ctrl_none__endpoint__value_ps,placement_manhattan_spread__dq_iologic__lane0__dq7__ctrl_none__endpoint__value_ps,6,5,0.5,0.5,0.0
placement_manhattan_max__dq_iologic__lane0__dq1__ctrl_none__endpoint__value_ps,placement_manhattan_max__dq_iologic__lane1__dq10__ctrl_none__endpoint__value_ps,6,5,0.5,0.5,0.0
placement_manhattan_max__dq_iologic__lane0__dq1__ctrl_none__endpoint__value_ps,placement_manhattan_spread__dq_iologic__lane1__dq10__ctrl_none__endpoint__value_ps,6,5,0.5,0.5,0.0
placement_manhattan_max__dq_iologic__lane0__dq1__ctrl_none__endpoint__value_ps,placement_manhattan_max__dq_iologic__lane1__dq11__ctrl_none__endpoint__value_ps,6,5,0.5,0.5,0.0
placement_manhattan_max__dq_iologic__lane0__dq1__ctrl_none__endpoint__value_ps,placement_manhattan_spread__dq_iologic__lane1__dq11__ctrl_none__endpoint__value_ps,6,5,0.5,0.5,0.0
placement_manhattan_max__dq_iologic__lane0__dq1__ctrl_none__endpoint__value_ps,placement_manhattan_max__dq_iologic__lane1__dq12__ctrl_none__endpoint__value_ps,6,5,0.5,0.5,0.0
placement_manhattan_max__dq_iologic__lane0__dq1__ctrl_none__endpoint__value_ps,placement_manhattan_spread__dq_iologic__lane1__dq12__ctrl_none__endpoint__value_ps,6,5,0.5,0.5,0.0
placement_manhattan_spread__dq_iologic__lane0__dq1__ctrl_none__endpoint__value_ps,placement_manhattan_max__dq_iologic__lane0__dq2__ctrl_none__endpoint__value_ps,6,5,0.5,0.5,0.0
placement_manhattan_spread__dq_iologic__lane0__dq1__ctrl_none__endpoint__value_ps,placement_manhattan_spread__dq_iologic__lane0__dq2__ctrl_none__endpoint__value_ps,6,5,0.5,0.5,0.0
placement_manhattan_spread__dq_iologic__lane0__dq1__ctrl_none__endpoint__value_ps,placement_manhattan_max__dq_iologic__lane0__dq3__ctrl_none__endpoint__value_ps,6,5,0.5,0.5,0.0
placement_manhattan_spread__dq_iologic__lane0__dq1__ctrl_none__endpoint__value_ps,placement_manhattan_spread__dq_iologic__lane0__dq3__ctrl_none__endpoint__value_ps,6,5,0.5,0.5,0.0
placement_manhattan_spread__dq_iologic__lane0__dq1__ctrl_none__endpoint__value_ps,placement_manhattan_max__dq_iologic__lane0__dq4__ctrl_none__endpoint__value_ps,6,5,0.5,0.5,0.0
placement_manhattan_spread__dq_iologic__lane0__dq1__ctrl_none__endpoint__value_ps,placement_manhattan_spread__dq_iologic__lane0__dq4__ctrl_none__endpoint__value_ps,6,5,0.5,0.5,0.0
placement_manhattan_spread__dq_iologic__lane0__dq1__ctrl_none__endpoint__value_ps,placement_manhattan_max__dq_iologic__lane0__dq5__ctrl_none__endpoint__value_ps,6,5,0.5,0.5,0.0
placement_manhattan_spread__dq_iologic__lane0__dq1__ctrl_none__endpoint__value_ps,placement_manhattan_spread__dq_iologic__lane0__dq5__ctrl_none__endpoint__value_ps,6,5,0.5,0.5,0.0
placement_manhattan_spread__dq_iologic__lane0__dq1__ctrl_none__endpoint__value_ps,placement_manhattan_max__dq_iologic__lane0__dq6__ctrl_none__endpoint__value_ps,6,5,0.5,0.5,0.0
placement_manhattan_spread__dq_iologic__lane0__dq1__ctrl_none__endpoint__value_ps,placement_manhattan_spread__dq_iologic__lane0__dq6__ctrl_none__endpoint__value_ps,6,5,0.5,0.5,0.0
placement_manhattan_spread__dq_iologic__lane0__dq1__ctrl_none__endpoint__value_ps,placement_manhattan_max__dq_iologic__lane0__dq7__ctrl_none__endpoint__value_ps,6,5,0.5,0.5,0.0
